blNumber;ETA
MEDURY042141;
MEDUHV958713;
MEDUHV699903;
MEDUHV958739;
MEDUHV958747;
MEDUHV958721;
MEDURY009983;
MEDURY010510;
MEDURY010254;
MEDURY012417;
MEDURY012243;
MEDURY009660;
MEDURY010528;
MEDURY012185;
MEDURY010262;
MEDURY012482;
MEDUVJ634132;
MEDUVJ602667;
MEDURY252211;
MEDUVH614632;
MEDUEY031449;
MEDUGY877276;
MEDUGY874265;
MEDUEY031449;
MEDUEY029187;
